SYMPTOM,VAERS_ID,AGE_YRS,DIED,L_THREAT,OTHER_MEDS,CUR_ILL,HISTORY,PRIOR_VAX,ALLERGIES,HOSPITAL,F,M,JANSSEN,MODERNA,PFIZER,VAX_DOSE_SERIES_1,VAX_DOSE_SERIES_2,VAX_SITE_LA,VAX_SITE_RA,AGE_GROUP
Magnetic resonance imaging,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Bell's palsy,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Muscle spasms,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Acute kidney injury,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200
Vertigo,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195
Somnolence,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195
Tenderness,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
Vision blurred,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
Abdominal distension,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190,190
Eye swelling,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185
Hypersensitivity,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185,185
Contusion,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
Blood pressure measurement,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
Sleep disorder,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
Acute myocardial infarction,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
Blister,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
Lethargy,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175,175
Asthma,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
Fall,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
Blood glucose normal,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
Swollen tongue,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
Eye pain,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
White blood cell count increased,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170,170
Hot flush,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165
Troponin increased,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165
Vaccination site erythema,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165
Dry mouth,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165
Eye pruritus,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
Limb discomfort,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160
Injection site cellulitis,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
Electrocardiogram normal,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
Urine analysis,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155,155
Blood glucose,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Insomnia,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Gait disturbance,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Pharyngeal swelling,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150,150
Disorientation,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145
Pneumonia,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145
Injection site urticaria,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145,145
Seizure,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
Deep vein thrombosis,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
Computerised tomogram head normal,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
Dysphonia,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135,135
Full blood count normal,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
Chest X-ray abnormal,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
Anosmia,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
Nasal congestion,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
Pallor,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
Night sweats,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
Erythema multiforme,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
Speech disorder,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
Echocardiogram,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
Epistaxis,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
Loss of personal independence in daily activities,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
Arrhythmia,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
Computerised tomogram head,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
Heart rate,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
Activated partial thromboplastin time,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
Bone pain,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
Induration,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
Interchange of vaccine products,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
Injection site discomfort,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
Injection site discolouration,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
Injection site mass,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115,115
Alanine aminotransferase increased,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
Amnesia,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
Urinary tract infection,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
Oxygen saturation decreased,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110
Oedema peripheral,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
Dysstasia,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
Hypotension,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
Alanine aminotransferase normal,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
Laboratory test normal,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
Pulmonary embolism,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Blood creatinine increased,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Axillary mass,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Electrocardiogram abnormal,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Echocardiogram normal,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Agitation,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Ear discomfort,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Sensation of foreign body,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Respiratory tract congestion,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Intensive care,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Pain in jaw,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Presyncope,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Metabolic function test normal,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Acoustic stimulation tests abnormal,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Urine analysis normal,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Dyspepsia,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Abdominal pain lower,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
Inflammation,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Endotracheal intubation,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Abnormal behaviour,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Angiogram cerebral normal,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Autopsy,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Rash macular,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Head discomfort,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Breast pain,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Incorrect route of product administration,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Disturbance in attention,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Rash papular,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Bradycardia,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90
Computerised tomogram normal,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
Angiogram pulmonary abnormal,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
Angina pectoris,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
Gait inability,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
COVID-19 pneumonia,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
Joint range of motion decreased,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
Abnormal dreams,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
Visual impairment,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
Taste disorder,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Mental status changes,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Cardio-respiratory arrest,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Eye irritation,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Angiogram cerebral,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Dizziness postural,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Haemoglobin decreased,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Nervousness,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Dyskinesia,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Platelet count decreased,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Anaphylactic shock,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Neuralgia,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Muscle tightness,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Muscle twitching,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Aphonia,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
Constipation,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
Dyspnoea exertional,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
Resuscitation,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
Blood pressure abnormal,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
Myocardial infarction,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
Cerebral haemorrhage,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
Pain of skin,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
X-ray,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
Vaccination site warmth,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
Dehydration,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
Periorbital swelling,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
Hypoxia,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
Dry throat,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
Product preparation issue,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
Blood potassium decreased,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
Nodule,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
Deafness,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
Hypersomnia,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
Computerised tomogram abnormal,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Acute respiratory failure,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
